Sales_ID,Name,Year,Selling_Price,km_Driven,City_Code,State_Code,Postal_Code,Fuel,Seller_Type,Transmission,Owner,Mileage,Engine,Max_Power,Seats,City_Name,State_Name,Region_Code,Region
1,Maruti Swift Dzire ZDI,2015,525000,40000,CT22,ST14,452010,Diesel,Individual,Manual,First Owner,26,1248,74,5,Indore,Madhya Pradesh,R1,Central
2,Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000,CT22,ST14,452010,Petrol,Individual,Manual,First Owner,17,1591,121,5,Indore,Madhya Pradesh,R1,Central
3,Hyundai i10 Era 1.1,2012,290000,28000,CT22,ST14,452010,Petrol,Dealer,Manual,First Owner,19,1086,68,5,Indore,Madhya Pradesh,R1,Central
4,Honda Amaze S i-VTEC,2019,690000,1303,CT22,ST14,452010,Petrol,Dealer,Manual,First Owner,17,1198,86,5,Indore,Madhya Pradesh,R1,Central
5,Toyota Camry W4 (AT),2009,450000,71000,CT22,ST14,452010,Petrol,Dealer,Automatic,First Owner,12,2362,164,5,Indore,Madhya Pradesh,R1,Central
6,Toyota Corolla Altis Diesel D4DG,2010,300000,60000,CT22,ST14,452010,Diesel,Individual,Manual,First Owner,21,1364,87,5,Indore,Madhya Pradesh,R1,Central
7,Tata Zest Quadrajet 1.3 75PS XM,2017,490000,90000,CT22,ST14,452010,Diesel,Individual,Manual,First Owner,22,1248,74,5,Indore,Madhya Pradesh,R1,Central
8,Hyundai i20 Sportz 1.2,2013,375000,70000,CT22,ST14,452010,Petrol,Individual,Manual,First Owner,18,1197,82,5,Indore,Madhya Pradesh,R1,Central
9,Mahindra XUV500 W8 2WD,2012,535000,120000,CT22,ST14,452010,Diesel,Individual,Manual,First Owner,15,2179,140,7,Indore,Madhya Pradesh,R1,Central
10,Maruti Swift Dzire VXI,2015,525000,20000,CT22,ST14,452010,Petrol,Individual,Manual,First Owner,20,1197,83,5,Indore,Madhya Pradesh,R1,Central
11,Maruti Swift 1.2 DLX (Only Delhi),2014,375000,80000,CT22,ST14,452010,Petrol,Individual,Manual,First Owner,20,1197,81,5,Indore,Madhya Pradesh,R1,Central
12,Mahindra Scorpio LX,2011,404000,122358,CT22,ST14,452010,Diesel,Individual,Manual,First Owner,12,2179,120,9,Indore,Madhya Pradesh,R1,Central
13,Maruti Swift VXI,2012,330000,50000,CT22,ST14,452010,Petrol,Individual,Manual,Second Owner,18,1197,85,5,Indore,Madhya Pradesh,R1,Central
15,Maruti Swift Dzire VXI,2014,409000,70000,CT22,ST14,452010,Petrol,Individual,Manual,Second Owner,19,1197,85,5,Indore,Madhya Pradesh,R1,Central
16,Maruti Swift Dzire VXI,2014,400000,70000,CT22,ST14,452010,Petrol,Individual,Manual,Second Owner,19,1197,85,5,Indore,Madhya Pradesh,R1,Central
17,Honda City i-DTEC VX,2017,1300000,30000,CT22,ST14,452010,Diesel,Individual,Manual,First Owner,25,1498,97,5,Indore,Madhya Pradesh,R1,Central
18,Maruti Swift Dzire ZDi,2011,265000,90000,CT22,ST14,452010,Diesel,Individual,Manual,Fourth & Above Owner,19,1248,73,5,Indore,Madhya Pradesh,R1,Central
19,Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,CT22,ST14,452010,Petrol,Dealer,Automatic,First Owner,14,1598,103,5,Indore,Madhya Pradesh,R1,Central
20,Volkswagen Polo 1.5 TDI Highline,2015,520000,110000,CT22,ST14,452010,Diesel,Individual,Manual,Second Owner,20,1498,88,5,Indore,Madhya Pradesh,R1,Central
21,Tata Safari DICOR 2.2 LX 4x2,2012,390000,80000,CT22,ST14,452003,Diesel,Individual,Manual,First Owner,13,2179,138,7,Indore,Madhya Pradesh,R1,Central
22,Toyota Etios Liva GD,2013,409999,45000,CT22,ST14,452003,Diesel,Individual,Manual,First Owner,23,1364,67,5,Indore,Madhya Pradesh,R1,Central
23,Hyundai i20 Asta Option 1.2,2016,540000,38000,CT22,ST14,452003,Petrol,Individual,Manual,First Owner,18,1197,81,5,Indore,Madhya Pradesh,R1,Central
24,Maruti Eeco 7 Seater Standard BSIV,2016,270000,100000,CT22,ST14,452003,Petrol,Individual,Manual,Third Owner,15,1196,73,7,Indore,Madhya Pradesh,R1,Central
25,Hyundai Verna S,2012,415000,60000,CT22,ST14,452003,Petrol,Dealer,Manual,First Owner,17,1497,113,5,Indore,Madhya Pradesh,R1,Central
26,Hyundai i10 Magna 1.2 iTech SE,2012,210000,76000,CT22,ST14,452003,Petrol,Individual,Manual,Fourth & Above Owner,20,1197,78,5,Indore,Madhya Pradesh,R1,Central
27,Ford Figo Diesel ZXI,2012,300000,70000,CT22,ST14,452003,Diesel,Individual,Manual,Second Owner,20,1399,68,5,Indore,Madhya Pradesh,R1,Central
28,Maruti Alto K10 VXI,2019,360000,25000,CT22,ST14,452003,Petrol,Individual,Manual,First Owner,23,998,67,5,Indore,Madhya Pradesh,R1,Central
29,Maruti Swift Dzire Tour S CNG,2018,455000,100000,CT22,ST14,452003,Petrol,Individual,Manual,Second Owner,19,1197,85,5,Indore,Madhya Pradesh,R1,Central
30,Mahindra KUV 100 G80 K2,2018,340000,51492,CT22,ST14,452003,Petrol,Individual,Manual,First Owner,18,1198,82,6,Indore,Madhya Pradesh,R1,Central
31,Mahindra Xylo D2 BS IV,2011,200000,120000,CT22,ST14,452003,Diesel,Individual,Manual,First Owner,14,2489,95,8,Indore,Madhya Pradesh,R1,Central
